Nome: PARATINGA
Codigo Estacao: 83238
Latitude: -12.97
Longitude: -38.5
Altitude: 66
Situacao: Desativada
Data Inicial: 1961-01-01
Data Final: 1964-06-29
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;32,6;25,94;20,7;72,5;50;0;
1961-01-02;null;0;31,4;24,42;21;79,25;59;2;
1961-01-03;null;46,7;29,3;24,24;20,5;81,25;67;,333333;
1961-01-04;null;1,5;29,4;24,62;21,4;82;65;1,333333;
1961-01-05;null;8,4;31,6;25,84;21,3;78,5;59;,333333;
1961-01-06;null;2,8;31,9;26,32;22,1;74,25;55;1;
1961-01-07;null;,6;27;23,82;20,3;84,75;72;1,333333;
1961-01-08;null;0;31,9;24,88;21,7;78;55;,666667;
1961-01-09;null;0;33,6;26,46;21,1;67;45;,333333;
1961-01-10;null;0;35,8;26,84;20;61,5;40;2,333333;
1961-01-11;null;0;35,9;26,12;20,7;71,75;40;1,666667;
1961-01-12;null;13,3;28,2;22,82;17,7;87,25;77;2;
1961-01-13;null;22,6;25,8;22;19;87,75;78;0;
1961-01-14;null;0;31,4;23,7;19,1;80;53;1;
1961-01-15;null;24,8;29,2;24,5;20,8;80,5;57;,666667;
1961-01-16;null;0;31,6;25,02;20,1;73;59;2,666667;
1961-01-17;null;0;32,5;26,14;20,4;55;38;2;
1961-01-18;null;0;29,6;23,02;19,3;81,5;58;1,333333;
1961-01-19;null;5,2;32,9;25,56;19,3;71,25;52;1;
1961-01-20;null;0;32,2;25,46;20,1;72;52;2,333333;
1961-01-21;null;0;31;25,54;20,1;77,5;65;2;
1961-01-22;null;0;25;22,82;20,3;86,5;76;0;
1961-01-23;null;35,2;27,2;23,92;21,4;82,75;74;1,666667;
1961-01-24;null;3;29,4;24,62;21,1;80;63;1,666667;
1961-01-25;null;46,4;29,3;24,36;20,1;81,75;60;2,333333;
1961-01-26;null;16,2;30,5;24,76;21,7;82;57;0;
1961-01-27;null;,3;24;22,16;20,3;92;85;2,333333;
1961-01-28;null;0;29,8;25,34;20,1;68,5;59;1;
1961-01-29;null;0;32,8;26,28;22,2;67,5;50;2,666667;
1961-01-30;null;0;33,2;26,56;19,3;66,5;51;2,666667;
1961-01-31;null;0;32,7;24,96;18,1;69,25;48;,666667;
1961-02-01;null;0;34,5;26,16;17,8;63,25;41;0;
1961-02-02;null;0;33,5;25,64;19,5;62,75;41;,333333;
1961-02-03;null;0;32,6;24,28;15,8;65,25;45;,333333;
1961-02-04;null;0;32,5;24,9;17,6;67,25;51;,666667;
1961-02-05;null;0;33,9;25,04;20,1;75,75;45;1,333333;
1961-02-06;null;3,2;31;25,42;20,9;76,5;61;1,666667;
1961-02-07;null;0;34;26,28;20,6;71,25;47;2;
1961-02-08;null;0;33,1;26,3;20,6;70,5;52;1;
1961-02-09;12,9;0;34,3;26,56;20,3;63,75;43;,333333;
1961-02-10;11,4;0;34,6;26,94;19,8;63,75;40;2;
1961-02-11;9,9;4,3;31,2;25,5;21,7;77;51;1,333333;
1961-02-12;2,4;57;25,4;22,2;19;83,5;75;3;
1961-02-13;11,7;0;31,2;24,74;18,4;77;57;,666667;
1961-02-14;8,1;0;27,8;24,94;22,3;78;66;1,666667;
1961-02-15;,8;10,4;26,8;23,5;21;86,5;76;1,333333;
1961-02-16;11,9;,3;30,9;25,24;20,9;75;58;1,333333;
1961-02-17;12,6;0;32,7;26,1;20,6;67,75;48;,333333;
1961-02-18;12,4;0;33,5;26,06;20,8;68,25;48;,333333;
1961-02-19;10,5;0;32,4;26,42;22,6;68,25;48;1,333333;
1961-02-20;4,4;0;30;25,3;21,7;74;57;,666667;
1961-02-21;11,3;0;33,3;25,22;20;66,5;42;,333333;
1961-02-22;13;0;34;25,26;18,1;61,25;40;,333333;
1961-02-23;11,9;0;33,7;25,86;17,1;64,5;43;,333333;
1961-02-24;12,5;0;34,3;27,18;21,6;59,75;39;2;
1961-02-25;12,6;0;35;28;22,8;56;43;1,333333;
1961-02-26;9,7;0;33,1;26,7;21,5;56,75;39;,666667;
1961-02-27;8,9;0;31,9;25,92;19,1;64;44;1;
1961-02-28;10,2;0;35,2;26,4;19,8;64,75;38;2,333333;
1961-03-01;3;8,6;31,2;25,94;22,1;74,25;57;,333333;
1961-03-02;9,6;0;33,5;26,78;20,8;64,5;44;1;
1961-03-03;5,6;0;30;26,24;22,8;74,25;61;1,666667;
1961-03-04;1,3;0;27,3;24,48;22,3;84,25;76;1,666667;
1961-03-05;6,6;0;31,3;25,74;19,9;75;61;1;
1961-03-06;9,9;0;34,8;27,54;19,7;62,25;42;1,666667;
1961-03-07;10,3;0;35,2;28;20,3;50,5;39;2,333333;
1961-03-08;11;0;35,9;27,94;20,4;53,75;35;1,333333;
1961-03-09;10,8;0;36,9;26,76;21,6;66,75;33;3;
1961-03-10;8,5;4,5;34;26,86;20,5;67,75;49;1,333333;
1961-03-11;10,3;0;35;26,42;21,1;70,5;42;3,333333;
